Date,Open,High,Low,Close,Adj Close,Volume
2018-01-09,3.790000,3.920000,3.410000,3.530000,3.530000,50959571
2018-01-10,3.530000,3.770000,3.100000,3.750000,3.750000,61960894
2018-01-11,3.740000,3.800000,2.950000,3.350000,3.350000,75688128
2018-01-12,3.350000,3.700000,3.220000,3.640000,3.640000,31502035
2018-01-13,3.640000,4.080000,3.640000,3.900000,3.900000,50484640
2018-01-14,3.900000,4.030000,3.570000,3.720000,3.720000,38775769
2018-01-15,3.720000,3.770000,3.410000,3.470000,3.470000,24637422
2018-01-16,3.470000,3.480000,1.920000,2.550000,2.550000,125424301
2018-01-17,2.550000,2.930000,1.930000,2.700000,2.700000,95448237
2018-01-18,2.700000,3.030000,2.550000,2.710000,2.710000,50048635
2018-01-19,2.710000,2.910000,2.400000,2.660000,2.660000,36440937
2018-01-20,2.660000,3.150000,2.660000,2.990000,2.990000,41106340
2018-01-21,2.990000,2.990000,2.600000,2.770000,2.770000,33740924
2018-01-22,2.770000,2.910000,2.120000,2.450000,2.450000,46253522
2018-01-23,2.450000,2.640000,2.200000,2.510000,2.510000,31850361
2018-01-24,2.510000,2.580000,2.340000,2.460000,2.460000,24071816
2018-01-25,2.460000,2.600000,2.330000,2.350000,2.350000,19007018
2018-01-26,2.350000,2.460000,2.190000,2.360000,2.360000,22986403
2018-01-27,2.360000,2.500000,2.340000,2.460000,2.460000,14895061
2018-01-28,2.460000,2.560000,2.440000,2.500000,2.500000,11621944
2018-01-29,2.500000,2.590000,2.380000,2.550000,2.550000,16566340
2018-01-30,2.550000,2.620000,2.150000,2.220000,2.220000,38126404
2018-01-31,2.220000,2.350000,2.170000,2.300000,2.300000,14445039
2018-02-01,2.300000,2.310000,1.720000,1.890000,1.890000,46430546
2018-02-02,1.890000,1.950000,1.430000,1.800000,1.800000,54347809
2018-02-03,1.800000,2.050000,1.620000,2.010000,2.010000,24729050
2018-02-04,2.010000,2.080000,1.600000,1.740000,1.740000,27886300
2018-02-05,1.740000,1.780000,1.330000,1.440000,1.440000,36567257
2018-02-06,1.440000,1.720000,1.200000,1.590000,1.590000,43155356
2018-02-07,1.590000,1.880000,1.510000,1.590000,1.590000,33694026
2018-02-08,1.590000,1.880000,1.590000,1.760000,1.760000,19621403
2018-02-09,1.760000,1.990000,1.660000,1.930000,1.930000,19983997
2018-02-10,1.930000,2.110000,1.730000,1.830000,1.830000,22976646
2018-02-11,1.830000,1.840000,1.580000,1.670000,1.670000,14509089
2018-02-12,1.670000,1.910000,1.670000,1.880000,1.880000,12512544
2018-02-13,1.880000,1.880000,1.720000,1.820000,1.820000,8560481
2018-02-14,1.820000,2.040000,1.770000,2.030000,2.030000,16364321
2018-02-15,2.030000,2.190000,1.970000,2.100000,2.100000,24671247
2018-02-16,2.100000,2.180000,1.960000,2.100000,2.100000,15726765
2018-02-17,2.100000,2.210000,2.070000,2.200000,2.200000,13707120
2018-02-18,2.200000,2.210000,1.910000,1.960000,1.960000,15124430
2018-02-19,1.960000,2.160000,1.940000,2.070000,2.070000,10182264
2018-02-20,2.070000,2.120000,1.820000,1.880000,1.880000,16136380
2018-02-21,1.880000,1.920000,1.690000,1.710000,1.710000,19209522
2018-02-22,1.710000,1.850000,1.540000,1.600000,1.600000,19184218
2018-02-23,1.600000,1.800000,1.560000,1.710000,1.710000,11963508
2018-02-24,1.710000,1.790000,1.620000,1.740000,1.740000,11249252
2018-02-25,1.740000,1.960000,1.710000,1.790000,1.790000,24302805
2018-02-26,1.790000,1.910000,1.740000,1.850000,1.850000,12017374
2018-02-27,1.850000,2.090000,1.790000,1.960000,1.960000,20337023
2018-02-28,1.960000,2.020000,1.820000,1.850000,1.850000,13272687
2018-03-01,1.850000,2.020000,1.820000,1.970000,1.970000,12318435
2018-03-02,1.970000,2.020000,1.850000,1.920000,1.920000,7773573
2018-03-03,1.920000,1.970000,1.840000,1.860000,1.860000,7189078
2018-03-04,1.860000,1.920000,1.810000,1.890000,1.890000,7419008
2018-03-05,1.890000,1.900000,1.840000,1.860000,1.860000,5706428
2018-03-06,1.860000,1.900000,1.610000,1.680000,1.680000,21157543
2018-03-07,1.680000,1.720000,1.350000,1.530000,1.530000,30341844
2018-03-08,1.530000,1.540000,1.350000,1.370000,1.370000,13203611
2018-03-09,1.370000,1.400000,1.140000,1.380000,1.380000,24931470
2018-03-10,1.380000,1.480000,1.270000,1.290000,1.290000,13439475
2018-03-11,1.290000,1.440000,1.230000,1.370000,1.370000,12488044
2018-03-12,1.370000,1.420000,1.260000,1.330000,1.330000,9760650
2018-03-13,1.330000,1.350000,1.270000,1.300000,1.300000,4676229
2018-03-14,1.300000,1.320000,1.090000,1.110000,1.110000,13038696
2018-03-15,1.110000,1.150000,1.030000,1.090000,1.090000,14361572
2018-03-16,1.090000,1.150000,1.020000,1.090000,1.090000,8151841
2018-03-17,1.090000,1.150000,1.060000,1.130000,1.130000,10969144
2018-03-18,1.130000,1.310000,1.050000,1.230000,1.230000,34018899
2018-03-19,1.230000,1.340000,1.180000,1.320000,1.320000,17802560
2018-03-20,1.320000,1.530000,1.280000,1.440000,1.440000,21867894
2018-03-21,1.440000,1.500000,1.340000,1.370000,1.370000,15743742
2018-03-22,1.370000,1.420000,1.260000,1.320000,1.320000,9091837
2018-03-23,1.320000,1.360000,1.240000,1.360000,1.360000,7840630
2018-03-24,1.360000,1.420000,1.310000,1.320000,1.320000,7237483
2018-03-25,1.320000,1.370000,1.260000,1.320000,1.320000,6089384
2018-03-25,1.320000,1.330000,1.180000,1.230000,1.230000,9154908
2018-03-26,1.230000,1.240000,1.140000,1.170000,1.170000,7488226
2018-03-27,1.170000,1.250000,1.160000,1.180000,1.180000,4191646
2018-03-28,1.180000,1.190000,1.060000,1.090000,1.090000,13044785
2018-03-29,1.090000,1.140000,1.050000,1.110000,1.110000,10606415
2018-03-30,1.110000,1.160000,1.060000,1.070000,1.070000,7346004
2018-03-31,1.070000,1.090000,0.940000,0.987100,0.987100,11460934
2018-04-01,0.987100,1.060000,0.981200,1.030000,1.030000,5744555
2018-04-02,1.030000,1.120000,1.030000,1.110000,1.110000,6132185
2018-04-03,1.110000,1.110000,0.955000,0.981500,0.981500,7253664
2018-04-04,0.981500,0.994200,0.925000,0.972000,0.972000,5348936
2018-04-05,0.972000,0.995000,0.915000,0.931600,0.931600,3406180
2018-04-06,0.931600,1.030000,0.926400,0.979900,0.979900,4004347
2018-04-07,0.979900,1.050000,0.968100,1.030000,1.030000,4594574
2018-04-08,1.030000,1.070000,0.962200,0.990500,0.990500,5709691
2018-04-09,0.990500,1.020000,0.960000,1.010000,1.010000,3431442
2018-04-10,1.010000,1.070000,1.000000,1.070000,1.070000,3787314
2018-04-11,1.070000,1.400000,1.030000,1.340000,1.340000,29622780
2018-04-12,1.340000,1.510000,1.280000,1.320000,1.320000,37946590
2018-04-13,1.320000,1.470000,1.290000,1.440000,1.440000,14221912
2018-04-14,1.440000,1.700000,1.440000,1.670000,1.670000,45012070
2018-04-15,1.670000,1.700000,1.520000,1.630000,1.630000,30914544
2018-04-16,1.630000,1.670000,1.540000,1.560000,1.560000,16905500
2018-04-17,1.560000,1.720000,1.540000,1.690000,1.690000,16980321
2018-04-18,1.690000,1.790000,1.630000,1.770000,1.770000,18256763
2018-04-19,1.770000,2.020000,1.740000,1.980000,1.980000,33020249
2018-04-20,1.980000,2.010000,1.810000,1.930000,1.930000,23749990
2018-04-21,1.930000,2.120000,1.870000,2.000000,2.000000,33994601
2018-04-22,2.000000,2.200000,1.980000,2.130000,2.130000,28679894
2018-04-23,2.130000,2.240000,2.110000,2.130000,2.130000,30339526
2018-04-24,2.130000,2.130000,1.720000,1.790000,1.790000,56529117
2018-04-25,1.790000,2.070000,1.700000,2.040000,2.040000,25359196
2018-04-26,2.040000,2.100000,1.870000,1.890000,1.890000,22323292
2018-04-27,1.890000,2.090000,1.870000,2.030000,2.030000,20824810
2018-04-28,2.030000,2.140000,1.910000,2.030000,2.030000,27630481
2018-04-29,2.030000,2.050000,1.920000,1.960000,1.960000,17033512
2018-04-30,1.960000,1.990000,1.810000,1.990000,1.990000,20447065
2018-05-01,1.990000,2.350000,1.940000,2.260000,2.260000,48688543
2018-05-02,2.260000,2.700000,2.200000,2.580000,2.580000,94215328
2018-05-03,2.580000,2.590000,2.330000,2.450000,2.450000,40970823
2018-05-04,2.450000,2.470000,2.300000,2.390000,2.390000,20587962
2018-05-05,2.390000,2.520000,2.190000,2.300000,2.300000,33643864
2018-05-06,2.300000,2.310000,2.070000,2.250000,2.250000,31827581
2018-05-07,2.250000,2.550000,2.230000,2.440000,2.440000,61492764
2018-05-08,2.440000,2.440000,2.260000,2.290000,2.290000,20174098
2018-05-09,2.290000,2.320000,2.130000,2.140000,2.140000,16262127
2018-05-10,2.140000,2.140000,1.770000,1.840000,1.840000,48789565
2018-05-11,1.840000,1.950000,1.690000,1.900000,1.900000,26444445
2018-05-12,1.900000,2.030000,1.810000,2.000000,2.000000,17808796
2018-05-13,2.000000,2.020000,1.800000,1.930000,1.930000,23021079
2018-05-14,1.930000,2.100000,1.900000,1.990000,1.990000,30632541
2018-05-15,1.990000,1.990000,1.790000,1.890000,1.890000,24628268
2018-05-16,1.890000,1.960000,1.660000,1.700000,1.700000,24949066
2018-05-17,1.700000,1.780000,1.640000,1.760000,1.760000,14527038
2018-05-18,1.760000,1.830000,1.700000,1.750000,1.750000,9771929
2018-05-19,1.750000,1.850000,1.730000,1.830000,1.830000,7777610
2018-05-20,1.830000,1.850000,1.700000,1.730000,1.730000,8637162
2018-05-21,1.730000,1.750000,1.610000,1.620000,1.620000,12050518
2018-05-22,1.620000,1.650000,1.390000,1.460000,1.460000,32772572
2018-05-23,1.460000,1.550000,1.380000,1.540000,1.540000,19332333
2018-05-24,1.540000,1.590000,1.440000,1.490000,1.490000,12820316
2018-05-25,1.490000,1.550000,1.460000,1.470000,1.470000,7003727
2018-05-26,1.470000,1.480000,1.410000,1.460000,1.460000,8631198
2018-05-27,1.460000,1.480000,1.340000,1.350000,1.350000,10973170
2018-05-28,1.350000,1.660000,1.330000,1.590000,1.590000,35133806
2018-05-29,1.590000,1.650000,1.510000,1.570000,1.570000,23193042
2018-05-30,1.570000,1.830000,1.550000,1.760000,1.760000,38992966
2018-05-31,1.760000,1.950000,1.710000,1.920000,1.920000,39394891
2018-06-01,1.920000,1.960000,1.850000,1.890000,1.890000,25131298
2018-06-02,1.890000,2.030000,1.740000,1.810000,1.810000,46306863
2018-06-03,1.810000,1.850000,1.690000,1.720000,1.720000,26060114
2018-06-04,1.720000,1.780000,1.660000,1.750000,1.750000,16563743
2018-06-05,1.750000,1.770000,1.620000,1.700000,1.700000,13539074
2018-06-06,1.700000,1.770000,1.670000,1.700000,1.700000,11052455
2018-06-07,1.700000,1.740000,1.670000,1.710000,1.710000,7180849
2018-06-08,1.710000,1.760000,1.630000,1.650000,1.650000,10448879
2018-06-09,1.650000,1.650000,1.300000,1.370000,1.370000,44522766
2018-06-10,1.370000,1.470000,1.310000,1.450000,1.450000,17322554
2018-06-11,1.450000,1.450000,1.210000,1.250000,1.250000,23961648
2018-06-12,1.250000,1.290000,1.120000,1.200000,1.200000,30446401
2018-06-13,1.200000,1.330000,1.170000,1.270000,1.270000,28375527
2018-06-14,1.270000,1.300000,1.150000,1.180000,1.180000,17344730
2018-06-15,1.180000,1.230000,1.150000,1.200000,1.200000,9554082
2018-06-16,1.200000,1.210000,1.160000,1.170000,1.170000,8692128
2018-06-17,1.170000,1.210000,1.080000,1.180000,1.180000,21880400
2018-06-18,1.180000,1.250000,1.160000,1.180000,1.180000,16883558
