Date,Open,High,Low,Close,Adj Close,Volume
2018-01-09,2.410000,2.500000,1.920000,2.060000,2.060000,480316287
2018-01-10,2.060000,2.130000,1.630000,1.950000,1.950000,761397002
2018-01-11,1.950000,2.240000,1.560000,1.930000,1.930000,1018947968
2018-01-12,1.930000,2.160000,1.810000,2.020000,2.020000,429715482
2018-01-13,2.020000,2.100000,1.960000,2.000000,2.000000,194844832
2018-01-14,2.000000,2.000000,1.760000,1.830000,1.830000,185909079
2018-01-15,1.830000,1.880000,1.630000,1.660000,1.660000,178452052
2018-01-16,1.660000,1.680000,0.869600,1.150000,1.150000,970771226
2018-01-17,1.150000,1.380000,0.874700,1.310000,1.310000,929665358
2018-01-18,1.310000,1.730000,1.230000,1.570000,1.570000,877858800
2018-01-19,1.570000,1.680000,1.470000,1.540000,1.540000,401871655
2018-01-20,1.540000,1.630000,1.480000,1.570000,1.570000,249160785
2018-01-21,1.570000,1.570000,1.310000,1.370000,1.370000,345641735
2018-01-22,1.370000,1.420000,1.140000,1.340000,1.340000,392473700
2018-01-23,1.340000,1.440000,1.180000,1.340000,1.340000,421893589
2018-01-24,1.340000,1.420000,1.290000,1.360000,1.360000,245746147
2018-01-25,1.360000,1.380000,1.280000,1.300000,1.300000,137374141
2018-01-26,1.300000,1.320000,1.110000,1.210000,1.210000,249741656
2018-01-27,1.210000,1.240000,1.180000,1.220000,1.220000,107159051
2018-01-28,1.220000,1.390000,1.220000,1.360000,1.360000,160930675
2018-01-29,1.360000,1.370000,1.250000,1.270000,1.270000,130238546
2018-01-30,1.270000,1.270000,1.090000,1.110000,1.110000,216780181
2018-01-31,1.110000,1.150000,1.020000,1.140000,1.140000,155671720
2018-02-01,1.140000,1.140000,0.895800,0.950300,0.950300,243922158
2018-02-02,0.950300,0.961000,0.658600,0.898900,0.898900,516429237
2018-02-03,0.898900,1.020000,0.779200,0.959500,0.959500,257361990
2018-02-04,0.959500,0.967800,0.779300,0.816600,0.816600,188852901
2018-02-05,0.816600,0.835000,0.639200,0.680500,0.680500,286445005
2018-02-06,0.680500,0.778500,0.572200,0.761900,0.761900,343075949
2018-02-07,0.761900,0.813200,0.695900,0.715700,0.715700,167590807
2018-02-08,0.715700,0.788700,0.711000,0.781000,0.781000,121529485
2018-02-09,0.781000,0.928000,0.740700,0.920100,0.920100,216317336
2018-02-10,0.920100,1.230000,0.905800,1.030000,1.030000,581681815
2018-02-11,1.030000,1.040000,0.892500,0.960700,0.960700,270280545
2018-02-12,0.960700,1.080000,0.957400,1.040000,1.040000,208832351
2018-02-13,1.040000,1.050000,0.965000,0.986600,0.986600,116730650
2018-02-14,0.986600,1.150000,0.980700,1.130000,1.130000,213096441
2018-02-15,1.130000,1.140000,1.070000,1.110000,1.110000,177079070
2018-02-16,1.110000,1.120000,1.070000,1.110000,1.110000,92551967
2018-02-17,1.110000,1.200000,1.100000,1.180000,1.180000,140771185
2018-02-18,1.180000,1.180000,1.040000,1.070000,1.070000,134960579
2018-02-19,1.070000,1.130000,1.070000,1.110000,1.110000,60167206
2018-02-20,1.110000,1.130000,1.010000,1.030000,1.030000,106414418
2018-02-21,1.030000,1.040000,0.938900,0.951200,0.951200,130894818
2018-02-22,0.951200,0.999900,0.863700,0.890400,0.890400,130321052
2018-02-23,0.890400,0.982900,0.852900,0.940200,0.940200,105300019
2018-02-24,0.940200,0.967000,0.870900,0.900900,0.900900,63672682
2018-02-25,0.900900,0.924200,0.878700,0.901200,0.901200,42176648
2018-02-26,0.901400,0.943300,0.875600,0.929600,0.929600,59943198
2018-02-27,0.929600,0.957900,0.917700,0.927600,0.927600,48040025
2018-02-28,0.927600,0.946700,0.881700,0.885300,0.885300,48326696
2018-03-01,0.885700,0.948100,0.875400,0.915500,0.915500,53144795
2018-03-02,0.915500,0.921100,0.886900,0.898300,0.898300,30896737
2018-03-03,0.898300,0.920600,0.891400,0.898400,0.898400,40559528
2018-03-04,0.898400,1.030000,0.884700,1.000000,1.000000,124105558
2018-03-05,1.000000,1.090000,0.942200,0.942700,0.942700,242874367
2018-03-06,0.942700,0.979100,0.889000,0.901300,0.901300,139373840
2018-03-07,0.901300,0.913000,0.788500,0.853500,0.853500,141658375
2018-03-08,0.853500,0.871600,0.794700,0.805300,0.805300,76018604
2018-03-09,0.805300,0.841500,0.732500,0.823600,0.823600,127177630
2018-03-10,0.823600,0.841200,0.769100,0.775000,0.775000,50954013
2018-03-11,0.775000,0.830100,0.750100,0.817300,0.817300,62035424
2018-03-12,0.817300,0.828200,0.765300,0.782200,0.782200,49013833
2018-03-13,0.782200,0.799100,0.760500,0.777700,0.777700,36680378
2018-03-14,0.777700,0.791800,0.655600,0.687600,0.687600,74718642
2018-03-15,0.687600,0.723800,0.629300,0.684100,0.684100,91947096
2018-03-16,0.684100,0.709100,0.659700,0.677900,0.677900,58577029
2018-03-17,0.677900,0.682900,0.614800,0.627800,0.627800,47574680
2018-03-18,0.627800,0.682200,0.538600,0.650000,0.650000,123397502
2018-03-19,0.650000,0.724900,0.627500,0.720300,0.720300,105733514
2018-03-20,0.720300,0.720300,0.657600,0.699600,0.699600,95865093
2018-03-21,0.699600,0.708500,0.662100,0.678600,0.678600,63760058
2018-03-22,0.678600,0.690200,0.622000,0.652300,0.652300,54532400
2018-03-23,0.652300,0.653500,0.613900,0.640400,0.640400,43174298
2018-03-24,0.640400,0.677600,0.627900,0.629000,0.629000,39874599
2018-03-25,0.629100,0.654100,0.623000,0.634100,0.634100,28270263
2018-03-25,0.634100,0.637700,0.575400,0.587400,0.587400,57143800
2018-03-26,0.587400,0.601800,0.557900,0.570300,0.570300,43752083
2018-03-27,0.570300,0.588600,0.565100,0.573300,0.573300,23514791
2018-03-28,0.573300,0.574500,0.497500,0.503100,0.503100,68842916
2018-03-29,0.503100,0.525700,0.471500,0.499000,0.499000,71841509
2018-03-30,0.498900,0.521900,0.492900,0.500300,0.500300,33649410
2018-03-31,0.500300,0.507800,0.455200,0.478700,0.478700,39051078
2018-04-01,0.478700,0.503400,0.471900,0.493700,0.493700,27904801
2018-04-02,0.493700,0.553100,0.491900,0.547300,0.547300,56654630
2018-04-03,0.547300,0.552300,0.486100,0.490300,0.490300,46939972
2018-04-04,0.490300,0.497500,0.475000,0.488600,0.488600,33139253
2018-04-05,0.488600,0.494700,0.459200,0.473100,0.473100,25925305
2018-04-06,0.473100,0.496200,0.471300,0.484700,0.484700,23441856
2018-04-07,0.484700,0.501200,0.484100,0.497300,0.497300,16618055
2018-04-08,0.497300,0.511400,0.474900,0.486200,0.486200,29080366
2018-04-09,0.486200,0.493500,0.477800,0.490900,0.490900,14635880
2018-04-10,0.490900,0.555800,0.485800,0.539900,0.539900,38211367
2018-04-11,0.540100,0.662700,0.502900,0.641600,0.641600,149987432
2018-04-12,0.641600,0.707700,0.613200,0.642400,0.642400,156289744
2018-04-13,0.642400,0.672500,0.621700,0.640100,0.640100,59196723
2018-04-14,0.640100,0.696000,0.640100,0.693500,0.693500,56571761
2018-04-15,0.693600,0.695000,0.634900,0.663800,0.663800,50371103
2018-04-16,0.663800,0.681700,0.651000,0.654800,0.654800,48476925
2018-04-17,0.654900,0.728800,0.653000,0.713200,0.713200,77284009
2018-04-18,0.713200,0.787600,0.704700,0.782800,0.782800,81040019
2018-04-19,0.782800,0.936700,0.782800,0.922900,0.922900,243635236
2018-04-20,0.922900,0.923800,0.806100,0.865500,0.865500,166546639
2018-04-21,0.865500,0.913900,0.839400,0.862000,0.862000,93721726
2018-04-22,0.862000,0.884800,0.845200,0.873600,0.873600,75109364
2018-04-23,0.873600,0.964300,0.868000,0.921300,0.921300,180720058
2018-04-24,0.921300,0.925500,0.768900,0.795000,0.795000,226425836
2018-04-25,0.795000,0.848700,0.761800,0.846300,0.846300,106487370
2018-04-26,0.846600,0.861700,0.803300,0.805700,0.805700,71168735
2018-04-27,0.805700,0.888700,0.801800,0.861600,0.861600,71185161
2018-04-28,0.861700,0.907800,0.824900,0.868200,0.868200,74077280
2018-04-29,0.868200,0.876000,0.818900,0.831300,0.831300,51107833
2018-04-30,0.831300,0.840300,0.782300,0.834000,0.834000,61573990
2018-05-01,0.834300,0.866100,0.823900,0.858700,0.858700,49144551
2018-05-02,0.858700,0.892400,0.839800,0.880200,0.880200,77720401
2018-05-03,0.880200,0.929600,0.857300,0.888900,0.888900,97116439
2018-05-04,0.888900,0.928000,0.887700,0.900400,0.900400,59868797
2018-05-05,0.900400,0.915200,0.841200,0.862900,0.862900,61974293
2018-05-06,0.862900,0.864800,0.798700,0.826600,0.826600,67281115
2018-05-07,0.826200,0.845400,0.791200,0.806500,0.806500,46387558
2018-05-08,0.806500,0.817100,0.758800,0.795700,0.795700,62533407
2018-05-09,0.795700,0.803800,0.746400,0.748500,0.748500,47806920
2018-05-10,0.748500,0.755000,0.648700,0.678000,0.678000,147821637
2018-05-11,0.678100,0.710100,0.629100,0.683600,0.683600,72967398
2018-05-12,0.683600,0.747100,0.664600,0.728500,0.728500,55954925
2018-05-13,0.728500,0.749700,0.688800,0.727200,0.727200,75054864
2018-05-14,0.727200,0.748500,0.681900,0.690500,0.690500,49060141
2018-05-15,0.690500,0.708900,0.659500,0.708000,0.708000,42829140
2018-05-16,0.708000,0.711300,0.651000,0.659200,0.659200,37306943
2018-05-17,0.659200,0.682900,0.646900,0.676200,0.676200,42774264
2018-05-18,0.676400,0.691100,0.660700,0.674700,0.674700,22298465
2018-05-19,0.674700,0.705700,0.668100,0.698500,0.698500,26544024
2018-05-20,0.698500,0.702100,0.669500,0.675600,0.675600,25022671
2018-05-21,0.675600,0.677600,0.636000,0.638400,0.638400,28368151
2018-05-22,0.638400,0.644000,0.575500,0.591000,0.591000,79817475
2018-05-23,0.591000,0.638000,0.577300,0.629300,0.629300,52702668
2018-05-24,0.629300,0.633700,0.594100,0.605700,0.605700,41292444
2018-05-25,0.605700,0.626200,0.598000,0.609000,0.609000,19570145
2018-05-26,0.609000,0.612200,0.598200,0.604400,0.604400,18292039
2018-05-27,0.604400,0.607600,0.547000,0.547800,0.547800,42831495
2018-05-28,0.547800,0.609400,0.544700,0.599700,0.599700,44215588
2018-05-29,0.600100,0.626700,0.583100,0.600500,0.600500,34151146
